authority,authority_type,authority_type_zh,authority_type_en,matched_keyword,occurrence_count
中国共产党广东省委员会,party_government_general,党政综合与战略协调,Party-government general,中国共产党,4
广东省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,4
广州知识产权法院,law_regulation_security,法规司法与监管安全,"Law, regulation and security",法院,4
汕头市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,4
深圳市宝安区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
珠海市科技创新局,science_technology,科技创新与科研管理,Science and technology,科技,4
茂名市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
兰州市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,4
张掖市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
中共福建省委,party_government_general,党政综合与战略协调,Party-government general,中共,4
中共福建省委宣传部,public_science_culture,宣传文化与公众科学,Public science and culture,宣传,4
福州市卫生健康委员会,sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生健康,4
北京市丰台区人力资源和社会保障局,education_talent,教育与人才培养,Education and talent,人力资源,4
北京市经济技术开发区管理委员会,party_government_general,党政综合与战略协调,Party-government general,开发区管理委员会,4
北京市昌平区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
中共安徽省委员会,party_government_general,党政综合与战略协调,Party-government general,中共,4
安徽省住房和城乡建设厅,sectoral_public_services,行业应用与公共服务,Sectoral public services,住房,4
中国科协学会服务中心,public_science_culture,宣传文化与公众科学,Public science and culture,科协,4
共青团中央,other_unclear,其他或无法判定,Other or unclear,,4
文化部(已撤销),public_science_culture,宣传文化与公众科学,Public science and culture,文化,4
海关总署,law_regulation_security,法规司法与监管安全,"Law, regulation and security",海关,4
国家工商行政管理总局(已撤销),law_regulation_security,法规司法与监管安全,"Law, regulation and security",工商行政,4
国家疾病预防控制局,other_unclear,其他或无法判定,Other or unclear,,4
中央机构编制委员会办公室,other_unclear,其他或无法判定,Other or unclear,,4
国家国防科技工业局,science_technology,科技创新与科研管理,Science and technology,科技,4
国家医疗保障局,other_unclear,其他或无法判定,Other or unclear,,4
国家航天局,other_unclear,其他或无法判定,Other or unclear,,4
卫生部(已撤销),sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生,4
中国工程院,science_technology,科技创新与科研管理,Science and technology,工程院,4
上海市普陀区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
宁夏回族自治区科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,4
重庆市知识产权局,law_regulation_security,法规司法与监管安全,"Law, regulation and security",知识产权,3
重庆两江新区管理委员会,other_unclear,其他或无法判定,Other or unclear,,3
